speaker,start,end,content
Trump,1881,1899,"Well, so far we have had no problem whatsoever. It’s outside. That’s a big difference according to the experts. We do them outside, we have tremendous crowds, as you see, and literally on 24 hours notice. And Joe does the circles and has three people someplace."
Biden,1899,1921,"By the way, did you see one of the last big rallies he had? A reporter came up to him to ask him a question, he said, “No, no, no. Stand back, put on your mask, put on a mask. Have you been tested? I’m way far away from those other people.” That’s what he said, “I’m going to be okay.” He’s not worried about you. He’s not worried about the people out there [crosstalk 00:08:48]."
Trump,1921,1922,We’ve had no negative effect.
Biden,1922,1924,No negative effect. Come on.
Trump,1924,1928,"We’ve had no negative effect, and we’ve had 35, 40,000 people at these rallies."
Wallace ,1928,1930,All right. Do you want to just quickly finish up? Because I want to move on to our next-
Biden,1930,1941,"Yes, I would. He’s been totally irresponsible the way in which he has handled the social distancing and people wearing masks, basically encouraged them not to. He’s a fool on this."
Trump,1941,1945,"If you could get the crowds, you would have done the same thing. But you can’t. Nobody cares."
Wallace ,1945,1946,"Gentlemen, can we move on to the-"
Trump,1946,1946,No cares.
Wallace ,1946,1948,"Gentlemen, can we move on to the economy?"
Trump,1948,1948,Yes.
Wallace ,1948,1955,"The economy is, I think it’s fair to say, recovering faster than expected from the shutdown-"
Trump,1955,1955,Much faster.
Wallace ,1955,1985,"… in the second quarter. The unemployment rate fell to 8.4% last month. The Federal Reserve says the hit to growth, which is going to be there, is not going to be nearly as big as they had expected. President Trump, you say we are in a V-shaped recovery. Vice President Biden, you say it’s more of a K-shape. What difference does that mean to the American people in terms of the economy? President Trump, in this segment you go first."
Trump,1985,2024,"So we built the greatest economy in history. We closed it down because of the China plague. When the plague came in, we closed it down, which was very hard psychologically to do. He didn’t think we should close it down and he was wrong. Again, two million people would be dead now instead of… Still, 204,000 people is too much. One person is too much. Should have never happened from China. But what happened is we closed it down and now we’re reopening and we’re doing record business. We had 10.4 million people in a four month period that we’ve put back into the workforce. That’s a record the likes of which nobody’s ever seen before. And he wants to close down the… He will shut it down again. He will destroy this country."
Trump,2024,2057,"A lot of people, between drugs and alcohol and depression, when you start shutting it down, you take a look at what’s happening at some of your Democrat-run states where they have these tough shutdowns. And I’m telling you it’s because they don’t want to open it. One of them came out last week, you saw that, “Oh, we’re going to open up on November 9th.” Why November 9th? Because it’s after the election. They think they’re hurting us by keeping them closed. They’re hurting people. People know what to do. They can social distance. They can wash their hands, they can wear masks. They can do whatever they want, but they got to open these states up."
Trump,2057,2089,"When you look at North Carolina, when you look, and these governors are under siege, Pennsylvania, Michigan, and a couple of others, you got to open these states up. It’s not fair. You’re talking about almost it’s like being in prison. And you look at what’s going on with divorce, look at what’s going on with alcoholism and drugs. It’s a very, very sad thing. And he’ll close down the whole country. This guy will close down the whole country and destroy our country. Our country is coming back incredibly well, setting records as it does it. We don’t need somebody to come in and say, “Let’s shut it down.”"
Wallace ,2089,2101,"All right. Your two minutes, sir. We’re now moved to you. As I said, posing the question, the president says it’s a V-shape recovery, you say it’s a K-shaped recovery. What’s the difference?"
Biden,2101,2130,"The difference is millionaires and billionaires like him in the middle of the COVID crisis have done very well. Billionaires have made another $300 billion because of his profligate tax proposal, and he only focused on the market. But you folks at home, you folks living in Scranton and Claymont and all the small towns and working class towns in America, how well are you doing? This guy paid a total of $750 in taxes."
Trump,2130,2131,That’s wrong.
Wallace ,2131,2131,"Sir, wait. No. Sir-"
Trump,2131,2133,[crosstalk 00:12:19].
Wallace ,2133,2136,"Yeah, I understand. You’ve agreed to the two minutes, so please let him have it."
Biden,2136,2153,"Do I get my time back? The fact is that he has in fact, worked on this in a way that he’s going to be the first president of the United States to leave office, having fewer jobs in his administration than when he became president. Fewer jobs than when he became president. First one in American history."
Biden,2153,2198,"Secondly, the people who have lost their jobs are those people who have been on the front lines. Those people who have been saving our lives, those people who have been out there dying. People who’ve been putting themselves in the way to make sure that we could all try to make it. And the idea that he is insisting that we go forward and open when you have almost half the states in America with a significant increase in COVID deaths and COVID cases in the United States of America, and he wants to open it up more. Why is he want to open it up? Why does he take care of the… You can’t fix the economy until you fix the COVID crisis. And he has no intention of doing anything about making it better for you all at home in terms of your health and your safety."
Biden,2198,2227,"Schools. Why aren’t schools open? Because it costs a lot of money to open them safely. They were going to give, his administration going to give the teachers and school students masks, and then they decided no, couldn’t do that because it’s not a national emergency. Not a national emergency. They’ve done nothing to help small businesses. Nothing. They’re closing. One in six is now gone. He ought to get on the job and take care of the needs of the American people so we can open safely."
Wallace ,2227,2229,"All right. Your time is up, sir. We are going to get to-"
Trump,2229,2230,I have to respond to that.
Wallace ,2230,2232,"Well, you both had two minutes, sir."
Trump,2232,2234,"Excuse me, he made a statement."
Wallace ,2234,2236,And so did you.
Trump,2236,2252,"No, people want their schools open. They don’t want to be shut down. They don’t want their state shut down. They want their restaurants. I look at New York. It’s so sad what’s happening in New York. It’s almost like a ghost town, and I’m not sure it can ever recover what they’ve done to New York. People want their places open. They want to get back to their lives."
Biden,2252,2253,People want to be safe.
Trump,2253,2255,"They’ll be careful, but they want their schools open."
Biden,2255,2256,People want to be safe.
Trump,2256,2263,"I’m the one that brought back football. By the way, I brought back Big Ten football. It was me and I’m very happy to do it-"
Wallace ,2263,2264,All right. Let’s-
Trump,2264,2269,… and people of Ohio are very proud of me. And you know how I found out? When [crosstalk 00:14:35].
Wallace ,2269,2301,"Gentlemen, we’re going to get to your economic plans going forward in a moment, but first, Mr. President, as you well know, there’s a new report that in 2016, the year you were elected president, and 2017, your first year as president, that you paid $750 a year in federal income tax each of those years. I know that you pay a lot of other taxes, but I’m asking you this specific question. Is it true that you paid $750 in federal income taxes each of those two years?"
Trump,2301,2309,"I paid millions of dollars in taxes, millions of dollars of income tax. And let me just tell you, there was a story in one of the papers that paid-"
Biden,2309,2310,Show us your tax returns.
Trump,2310,2317,"I paid $38 million one year, I paid $27 million one year."
Biden,2317,2317,Show us your tax returns.
Trump,2317,2335,"You’ll see it as soon as it’s finished, you’ll see it. You know, if you wanted to, go to the Board of Elections. There’s 118 page or so report that says everything I have, every bank I have, I’m totally under leveraged because the assets are extremely good, and I built a great company."
Wallace ,2335,2336,"Sir, I’m asking you a specific question, which is-"
Trump,2336,2336,But let me tell you-
Wallace ,2336,2337,I understand all of that.
Biden,2337,2338,Release your tax return.
Wallace ,2338,2338,I understand all of that-
Trump,2338,2340,Let me-
Wallace ,2340,2349,"No, Mr. President, I’m asking you a question. Will you tell us how much you paid in federal income taxes in 2016 and 2017?"
Trump,2349,2351,Millions of dollars.
Wallace ,2351,2352,You paid millions of dollars in-
Trump,2352,2352,"Millions of dollars, yes."
Wallace ,2352,2353,So not 750?
Trump,2353,2356,Millions of dollars. And you’ll get to see it. And you’ll get to see it.
Biden,2356,2357,When? Inshallah?
Trump,2357,2358,But let me just tell you-
Biden,2358,2358,In [crosstalk 00:16:04]?
Trump,2358,2393,"Chris, let me just say something, that it was the tax laws. I don’t want to pay tax. Before I came here, I was a private developer, I was a private business people. Like every other private person, unless they’re stupid, they go through the laws, and that’s what it is. He passed a tax bill that gave us all these privileges for depreciation and for tax credits. We build the building and we get tax credits, like the hotel on Pennsylvania Avenue. Which by the way, was given to me by the Obama administration, if you can believe that. Now the man got fired right after that happened, but that’s-"
Wallace ,2393,2395,"Vice President Biden, you want to respond?"
Biden,2395,2419,"Yeah, I do want to respond. Look, the tax code that put him in a position that he pays less tax than on the money a school teacher makes is because of him… He says he’s smart because he can take advantage of the tax code. And he does take advantage of the tax code. That’s why I’m going to eliminate the Trump tax cuts. And I’m going to eliminate those tax cuts."
Trump,2419,2420,That’s okay.
Biden,2420,2426,And make sure that we invest in the people who in fact need the help. People out there need help.
Trump,2426,2429,But why didn’t you do it over the last 25 years?
Biden,2429,2431,Because you weren’t president-
Trump,2431,2432,Why didn’t you do it over the last 25 years?
Biden,2432,2433,Because you weren’t president and screwing things up.
Trump,2433,2434,You were a Senator and [crosstalk 00:17:21]-
Biden,2434,2437,You’re the worst president America has ever had. Come on.
Trump,2437,2446,"Hey, Joe, let me just tell you, Joe. In 47 months, I’ve done more than you’ve done in 47 years, Joe. We’ve done things that you never even thought of doing."
Wallace ,2446,2446,Okay. Gentlemen?
Trump,2446,2451,"Including fixing the broken military that you gave me, including taking care of your debts."
Wallace ,2451,2459,"Mr. President, we’re talking about the economy. I’d like to ask you about your plans going forward because Mr. Vice President, your economic plan-"
Trump,2459,2460,He has none.
Wallace ,2460,2476,"… if you were to be elected president focuses a lot on big government, big taxes, big spending. I want to focus first on the taxes. You propose more than $4 trillion over a decade in new taxes on individuals making more than $400,000 a year."
Wallace ,2476,2486,"… on individuals making more than $400,000 a year and on corporations. President Trump says that that kind of an increase in taxes is going to hurt the economy as it’s just coming out of a recession."
Biden,2486,2523,"Well, just take a look at what is the analysis done by Wall Street firms, points out that my economic plan would create 7 million more jobs than his in four years, number one. And number two, it would create an additional $1 trillion in economic growth, because it would be about buying American. The federal government spends $600 billion a year on everything from ships, to steel, to buildings and the like. And under my proposal, we’re going to make sure that every penny of that has to be made by a company-"
Wallace ,2523,2526,"But respectfully, sir, I’m talking about taxes, not spending."
Biden,2526,2542,"By the way, I’m going to eliminate a significant number of the taxes. I’m going to make the corporate tax 28%. It shouldn’t be 21%. You have 91 companies federal, I mean, the fortune 500, who don’t pay a single penny in tax making billions of dollars."
Trump,2542,2545,"Why didn’t you do it before, when you were vice president with Obama?"
Biden,2545,2549,"Because you in fact passed that, that was your tax proposal."
Trump,2549,2550,I got it done. And you know what happened?
Biden,2550,2551,"Yeah, you got it done-"
Trump,2551,2553,Our economy boomed like it’s never boomed before.
Biden,2553,2553,The economy-
Wallace ,2553,2555,Mr. President-
Biden,2555,2556,Let me finish.
Wallace ,2556,2564,"Mr. President, let me pick up on that. You would continue your free market approach, lower taxes, more deregulation, correct?"
Biden,2564,2567,Not lower tax for the American people.
Wallace ,2567,2567,But let me-
Trump,2567,2567,Excuse me.
Wallace ,2567,2580,"You talk about the economy booming. It turns out that in Obama’s final three years as president more jobs were created, a million and a half more jobs, than in the first three years of your presidency."
Trump,2580,2622,"They had the slowest economic recovery since 1929. It was the slowest recovery. Also, they took over something that was down here. All you had to do is turn on the lights and you pick up a lot. But they had the slowest economic recovery since 1929, and let me tell you about the stock market. When the stock market goes up, that means jobs. It also means 401ks. If you got in, if you ever became president with your ideas, you want to terminate my taxes. I’ll tell you what, you’ll lose. Half of the companies that have poured in here will leave. And plenty of companies that are already here, they’ll leave for other places. [crosstalk 00:20:25] They will leave and you will have a depression, the likes of which you’ve never seen."
Biden,2622,2622,Look-
Wallace ,2622,2623,Mr. Vice President.
Biden,2623,2637,"… we inherited the worst recession, short of a depression in American history. I was asked to bring it back. We were able to have an economic recovery that created the jobs you’re talking about. We handed him a booming economy, he blew it."
Trump,2637,2638,It wasn’t blooming.
Biden,2638,2639,He blew it.
Trump,2639,2643,He was in booming. It was the weakest recovery since 1929.
Wallace ,2643,2646,"Wait, wait, is it fair to say he blew it when, in fact-"
Trump,2646,2647,When COVID came along.
Wallace ,2647,2650,… when there was record low unemployment before COVID.
Biden,2650,2657,"Yeah, because what he did, even before COVID, manufacturing went in the hole. Manufacturing went in a hole-"
Trump,2657,2658,"Excuse me, Chris, wait."
Biden,2658,2659,… number one. Number two-
Trump,2659,2659,Chris.
Biden,2659,2660,Number three.
Trump,2660,2662,"They said it would take… No, you’re on number two."
Biden,2662,2663,No.
Trump,2663,2665,"Chris, Chris. They said it would take-"
Biden,2665,2665,This guy-
Trump,2665,2673,"… a miracle to bring back manufacturing. I brought back 700,000 jobs. They brought back nothing. They gave up on manufacturing."
Biden,2673,2674,We did not. [crosstalk 00:21:21]
Trump,2674,2675,… standard fare.
Biden,2675,2678,I’m the guy that brought back the automobile industry.
Trump,2678,2678,He totally gave up on manufacturing.
Wallace ,2678,2678,"All right, let him-"
Biden,2678,2687,"I was asked to bring back Chrysler and General Motors. He brought them back right here in the state of Ohio and Michigan. He blew it. They’re gone. He blew it. And in fact, they’re gone-"
Trump,2687,2693,Ohio had the best year it’s ever had last year. Michigan had the best year they’ve ever had.
Biden,2693,2694,That is not true.
Trump,2694,2700,"Many car companies came in from Germany, from Japan, went to Michigan, went to Ohio and they didn’t come in with you. [crosstalk 00:21:47]."
Wallace ,2700,2701,"Mr. Vice President, go ahead."
Biden,2701,2719,And so you take a look at what he’s actually done. He’s done very little. His trade deals are the same way. He talks about these great trade deals. He talks about the art of the deal. China’s perfected the art of the steel. We have a higher deficit with China now than we did before. We have the highest trade deficit-
Trump,2719,2721,China ate your lunch- [crosstalk 00:00:22:07].
Biden,2721,2722,… with Mexico.
Trump,2722,2741,"China ate your lunch, Joe. And no wonder your son goes in and he takes out billions of dollars. He takes out billions of dollars to manage. He makes millions of dollars. And also, while we’re at it, why is it just out of curiosity, the mayor of Moscow’s wife gave you a son three and a half million dollars?"
Biden,2741,2741,That is not true.
Trump,2741,2744,What did he do to deserve it? What did he do with-
Biden,2744,2744,None of that is true.
Trump,2744,2744,"… to deserve $183,000?"
Wallace ,2744,2750,"Sir, you’ve asked him a question, let him answer it."
Biden,2750,2751,None of that is true.
Trump,2751,2752,"Oh really, he didn’t get three and a half million?"
Wallace ,2752,2753,Mr. President-
Biden,2753,2754,Is totally-
Wallace ,2754,2754,"Mr. President, please. You’ve asked a question- [crosstalk 00:22:41]"
Biden,2754,2758,Totally discredited. Totally discredited. And by the way-
Trump,2758,2761,"Well wait, he didn’t get three and a half million dollars, Joe?"
Biden,2761,2761,Mr. Vice-
Trump,2761,2762,He got three and a half million-
Wallace ,2762,2762,Mr. President.
Trump,2762,2763,… dollars.
Biden,2763,2764,That is not true.
Trump,2764,2764,"Oh, really?"
Wallace ,2764,2769,"Mr. President, it’s an open discussion. Please- [crosstalk 00:22:56]"
Trump,2769,2770,It’s a fact.
Biden,2770,2770,It is not a fact.
Wallace ,2770,2773,"Well, you have raised an issue, let the Vice President answer."
Biden,2773,2774,It’s been totally discredited.
Trump,2774,2779,"Did Burisma pay him 183,000 a month, with no experience in energy?"
Wallace ,2779,2780,Mr. President-
Biden,2780,2783,My son did nothing wrong at Barisma-
Trump,2783,2783,I think he did.
Wallace ,2783,2784,"Mr. President, let him answer. [crosstalk 00:23:13]."
Biden,2784,2793,"He doesn’t want to let me answer, because he knows I have the truth. His position has been totally thoroughly discredited-"
Trump,2793,2793,By who?
Biden,2793,2793,And you can-
Trump,2793,2793,The media.
Biden,2793,2796,"by everybody. Well, by the media, by our allies."
Trump,2796,2796,"By the media, because they refuse to talk about it-"
Biden,2796,2797,By the World Bank-
Trump,2797,2800,… because they’re embarrassed.
Biden,2800,2803,"By everyone, has discredited. And matter of fact [crosstalk 00:23:30] Matter of fact-"
Wallace ,2803,2804,"Mr. President, please stop."
Biden,2804,2806,Even the people who testified under oath-
Trump,2806,2809,"So let me ask you this, Joe- [crosstalk 00:23:35]."
Wallace ,2809,2810,"Go ahead, I’m listening to you."
Biden,2810,2811,Even the people under-
Trump,2811,2813,He got three and a half million dollars from Moscow.
Biden,2813,2820,… testified under oath in his administration said I did my job and I did it very well.
Trump,2820,2820,"Oh, really?"
Biden,2820,2820,I did it honorably.
Trump,2820,2821,I’d like to know who they are.
Biden,2821,2823,"Well, I’ll give you the list of the people who-"
Trump,2823,2823,I’ll fire them.
Wallace ,2823,2824,"No, no. Go ahead, sir."
Biden,2824,2827,"I’m sure that you’ve already fired most of them, because they did a good job."
Trump,2827,2828,Some people don’t do a good job.
Biden,2828,2830,"Well, here’s the- [crosstalk 00:23:57]"
Wallace ,2830,2832,"Go ahead. You get the- [crosstalk 00:23:57] Wait a minute. You get the final word, Mr.-"
Biden,2832,2835,"Well, it’s hard to get any word in with this clown. Excuse me, this person."
Trump,2835,2836,"Hey, let me just tell you, Joe-"
Biden,2836,2837,"No, no. Mr. President- [crosstalk 00:24:05]"
Trump,2837,2839,"Three and a half million, Joe."
Biden,2839,2840,That is simply not true.
Trump,2840,2842,Why did he deserve three and a half million from Moscow?
Biden,2842,2852,"Look, here’s the deal. We want to talk about families and ethics. I don’t want to do that. I mean, his family, we could talk about all night. His family’s already-"
Trump,2852,2853,My family-
Wallace ,2853,2853,"No, no- [crosstalk 00:06:20]."
Trump,2853,2857,My family lost a fortune by coming down and helping us with governance.
Biden,2857,2858,And that’s such a- [crosstalk 00:24:25]
Wallace ,2858,2859,Mr. President-
Trump,2859,2860,Every single one of them lost a fortune-
Biden,2860,2876,"This is not about my family or his family. It’s about your family, the American people. [crosstalk 00:24:32] That’s not true. It doesn’t want to talk about what you need. You, the American people, it’s about you. That’s what we’re talking about here. [crosstalk 00:24:42]"
Wallace ,2876,2879,That’s the end of the segment. We’re moving on.
Biden,2879,2880,He didn’t take that.
Wallace ,2880,2880,Vice President-
Trump,2880,2882,"Chris, can I be honest? It’s a very important question-"
Biden,2882,2883,Try to be honest.
Wallace ,2883,2883,No.
Trump,2883,2885,He stood up-
Wallace ,2885,2886,The answer to the question is no.
Trump,2886,2888,… and the threatened Ukraine-
Wallace ,2888,2888,Sir-
Trump,2888,2890,… with a billion dollars-
Biden,2890,2894,That is absolutely not true.
Wallace ,2894,2902,"Stop. [crosstalk 00:25:02] Gentlemen, I hate to raise my voice, but I- [crosstalk 00:25:05] Why should I be different than the two of you? So here’s the deal."
Biden,2902,2902,That’s a good point.
Wallace ,2902,2930,"We have six segments. We have ended that segment. We’re going to go to the next segment. In that segment, you each are going to have two uninterrupted moments. In those two interrupted minutes, Mr. President, you can say anything you want. I’m going to ask a question about race, but if you want to answer about something else, go ahead. But I think that the country would be better served, if we allowed both people to speak with fewer interruptions. I’m appealing to you, sir, to do that."
Trump,2930,2931,"Well, and him too."
Wallace ,2931,2933,"Well, frankly, you’ve been doing more interrupting than he has."
Trump,2933,2934,"Well, that’s all right, but he does plenty."
Wallace ,2934,2936,"Well, sir, less than-"
Trump,2936,2936,He does plenty.
Wallace ,2936,2958,"No, less than you have. Let’s please continue on. The issue of rice. Vice-President Biden, you say that President Trump’s response to the violence in Charlottesville three years ago, when he talked about very fine people on both sides, was what directly led you to launch this run for president."
Trump,2958,2959,"Oh yeah, sure."
Wallace ,2959,2969,"President Trump, you have often said that you believe you will have done more for Black Americans than any president with the possible exception of Abraham Lincoln."
Trump,2969,2969,That’s true.
Wallace ,2969,2982,"My question for the two of you, is why should voters trust you rather than your opponent to deal with the race issues facing this country over the next four years? Vice President Biden, you go first."
Biden,2982,3024,"It’s about equity and equality. It’s about decency. It’s about the constitution. And we have never walked away from trying to require equity for everyone, equality for the whole of America. But we’ve never accomplished it, but we’ve never walked away from it like he has done. It is true, the reason I got in the race is when those people… Close your eyes, remember what those people look like coming out of the fields, carrying torches, their veins bulging, just spewing anti-Semitic bile and accompanied by the Ku Klux Klan. A young woman got killed and they asked the president what he thought. He said, “There were very fine people on both sides.” No president’s ever said anything like that. [crosstalk 00:27:10]."
Wallace ,3024,3025,It is his-
Biden,3025,3025,Now-
Wallace ,3025,3026,… minute sir.
Biden,3026,3063,"… second point I’d make to you, is that when Floyd was killed, when Mr. Floyd was killed, there was a peaceful protest in front of the White House. What did he do? He came out of his bunker, had the military use tear gas on them so he could walk across to a church and hold up a Bible. And then what happened after that? The Bishop of that very church said that it was a disgrace. The general who was with him said all he ever wants to do is divide people, not unite people at all. This is a president who has used everything as a dog whistle, to try to generate racists hatred, racist division."
Biden,3063,3100,"This is a man who, in fact, you talk about helping African-Americans, one in 1000 African Americans has been killed because of the coronavirus. And if he doesn’t do something quickly, by the end of the year, one in 500 will have been killed. One in 500 African Americans. This man is as a savior of African-Americans? This man cares at all? This man’s done virtually nothing. Look, the fact is that you have to look at what he talks about. You have to look at what he did. And what he did has been disastrous for the African-American community."
Trump,3100,3101,So-
Wallace ,3101,3107,"President Trump, you have two minutes. Why should Americans trust you over your opponent to deal race issues?"
Trump,3107,3116,"You did a crime bill, 1994, where you call them super predators. African-Americans are super predators and they’ve never forgotten it. They’ve never forgotten it."
Biden,3116,3117,I’ve never said-
Wallace ,3117,3118,"No, no, sir. It’s his two minutes."
Trump,3118,3172,"So you did that and they call you a super predator and I’m letting people out of jail now, that you have treated the African-American population community, you have treated the black community about as bad as anybody in this country. You did the 1990… And that’s why, if you look at the polls, I’m doing better than any Republican has done in a long time, because they saw what you did. You call them super predators, and you’ve called them worse than that. Because you look back at your testimony over the years, you’ve called them a lot worse than that. As far as the church is concerned and as far as the generals are concerned, we just got the support of 250 military leaders and generals, total support. Law enforcement, almost every law enforcement group in the United States. I have Florida. I have Texas. I have Ohio. I have every… Excuse me, Portland, the sheriff just came out today and he said, “I support President Trump.”"
Trump,3172,3228,"I don’t think you have any law enforcement. You can’t even say the word law enforcement. Because if you say those words, you’re going to lose all of your radical left supporters. And why aren’t you saying those words, Joe? Why don’t you say the words law enforcement? Because you know what? If called us in Portland, we would put out that fire in a half an hour. But they won’t do it, because they’re run by radical left Democrats. If you look at Chicago, if you look at any place you want to look, Seattle, they heard we were coming in the following day and they put up their hands and we got back Seattle. Minneapolis, we got it back, Joe, because we believe in law and order, but you don’t. The top 10 cities and just about the top 40 cities are run by Democrats, and in many cases radical left. And they’ve got you wrapped around their finger, Joe, to a point where you don’t want to say anything about law and order. And I’ll tell you what, the people of this country want and demand law and order and you’re afraid to even say it."
Wallace ,3228,3252,"All right. I want to return to the question of race. Vice President Biden, after the grand jury in the Breonna Taylor case decided not to charge any of the police with homicide, you said it raises the question, “Whether justice could be equally applied in America.” Do you believe that there is a separate but unequal system of justice for Blacks in this country?"
Biden,3252,3291,"Yes, there is. There’s systemic injustice in this country, in education and work and in law enforcement and the way in which it’s enforced. But look, the vast majority of police officers are good, decent, honorable men and women. They risk their lives every day to take care of us, but there are some bad apples. And when they occur, when they find them, they have to be sorted out. They have to be held accountable. They have to be held accountable. And what I’m going to do as President of the United States is call together an entire group of people at the White House, everything from the civil rights groups, to the police officers, to the police chiefs, and we’re going to work this out."
Biden,3291,3317,"We’re going to work this out. So we changed the way in which we have more transparency, in when these things happen. These cops aren’t happy to see what happened to George Floyd. These cops aren’t happy to see what happened to Breonna Taylor. Most don’t like it, but we have to have a system where people are held accountable when… And by the way, violence in response is never appropriate, never appropriate. Peaceful protest is, violence is never appropriate."
Wallace ,3317,3318,"All right, Mr.-"
Trump,3318,3321,What is peaceful protest? When they run through the middle of the town-
Wallace ,3321,3322,President Trump-
Trump,3322,3324,… and burn down your stores and kill people all over the place- [crosstalk 00:32:14].
Biden,3324,3326,That is not peaceful protest.
Trump,3326,3328,"No it’s not, but you say it is."
Wallace ,3328,3334,"President Trump, I’d like to continue with the issue of race. I promise we’re going to get to the issue of law and order in a moment."
Trump,3334,3334,Fine.
Wallace ,3334,3355,"This month, your administration directed federal agencies to end racial sensitivity training that addresses white privilege or critical race theory. Why did you decide to do that, to end racial sensitivity training? And do you believe that there is systemic racism in this country, sir?"
Trump,3355,3375,"I ended it because it’s racist. I ended it because a lot of people were complaining that they were asked to do things that were absolutely insane. That it a radical revolution that was taking place in our military, in our schools, all over the place. And you know it, and so does everybody else. And he would know it- [crosstalk 00:33:02]"
Wallace ,3375,3378,What is radical about racial sensitivity training?
Trump,3378,3411,"If you were a certain person, you had no status in life. It was sort of a reversal. And if you look at the people, we were paying people hundreds of thousands of dollars to teach very bad ideas and frankly, very sick ideas. And really, they were teaching people to hate our country And I’m not going to do that. I’m not going to allow that to happen. We have to go back to the core values of this country. They were teaching people that our country is a horrible place. It’s a racist place. And they were teaching people to hate our country. And I’m not going to allow that to happen."
Wallace ,3411,3412,Vice President Biden.
Biden,3412,3415,Nobody’s doing that. He’s the racist.
Trump,3415,3416,You just don’t know.
Biden,3416,3418,Here’s the deal. I know a lot more about this- [crosstalk 00:15:43].
Wallace ,3418,3420,Let him finish.
Biden,3420,3474,"The fact is that there is racial insensitivity. People have to be made aware of what other people feel like, what insults them, what is demeaning to them. It’s important people know. Many people don’t want to hurt other people’s feelings, but it makes a big difference. It makes a gigantic difference in the way a child is able to grow up and have a sense of self-esteem. It’s a little bit like how this guy and his friends look down on so many people. They look down their nose on people like Irish Catholics, like me, who grow up in Scranton. They look down on people who don’t have money. They look down on people who are of a different faith. They looked down on people who are a different color. In fact, we’re all Americans. The only way we’re going to bring this country together is bring everybody together. There’s nothing we cannot do, if we do it together. We can take this on and we can defeat racism in American."
Wallace ,3474,3476,"Vice President… I mean, President Trump, sir."
Trump,3476,3494,"During the Obama-Biden administration, there was tremendous division. There was hatred. You look at Ferguson, you look at, or you go to very… Many places, look at Oakland. Look what happened in Oakland. Look what happened in Baltimore. Look what happened… Frankly, it was more violent than what I’m even seeing now."
Biden,3494,3494,Oh my Lord.
Trump,3494,3495,But the reason-
Biden,3495,3496,This is ridiculous.
Trump,3496,3498,… is that the Democrats that run these cities-
Biden,3498,3499,Absolutely ridiculous.
Trump,3499,3501,"… don’t want to talk, like you, about law and order."
Biden,3501,3502,Violent crime-
Trump,3502,3505,And you still haven’t mentioned. Are you in favor of law and order?
Biden,3505,3507,I’m in favor of law. You- [crosstalk 00:35:15].
Trump,3507,3509,Are you in favor of law and order? [crosstalk 00:35:17]
Wallace ,3509,3513,"You asked a question, let him finish. [crosstalk 00:35:18] Let him answer."
Biden,3513,3516,"Law and order with justice, where people get treated fairly."
Trump,3516,3517,Okay.
Biden,3517,3524,"And the fact of the matter is, violent crime went down 17%, 15% in our administration. It’s gone up on his watch."
Trump,3524,3526,It went down much more in ours.
Wallace ,3526,3534,"All right, we’re done- [crosstalk 00:35:35] Mr. President, you’re going to be very happy because we’re now going to talk about law and order."
Trump,3534,3537,The places we had trouble were democratic run cities-
Wallace ,3537,3556,"That’s exactly my question. There has been a dramatic increase in homicides in America this summer particularly, and you often blame that on democratic mayors and democratic governors. But in fact, there have been equivalent spikes in Republican led cities, like Tulsa and Fort Worth. So the question is, is this really a…"
Wallace ,3556,3558,"It’s like Tulsa and Fort worth. So the question is, is this really a party issue?"
Trump,3558,3598,"I think as a party issue, you can bring in a couple of examples but if you look at Chicago, what’s going on in Chicago where a 53 people were shot and eight died shot, if you look at New York where it’s going up, like nobody’s ever seen anything. The numbers are going up a 100%, 150%, 200% crime, it is crazy what’s going on and he doesn’t want to say law and order because he can’t because he’ll lose his radical left supporters and once he does that, it’s over with. But if he ever got to run this country and they ran it the way he would want to run it, we would have by the way our suburbs would be gone. And you would see problems like you’ve never seen before."
Biden,3598,3600,He wouldn’t know a suburb unless you took a wrong turn.
Trump,3600,3601,"Oh, I know suburbs so much that you."
Wallace ,3601,3603,Gentlemen wait a minute.
Biden,3603,3636,"I was raised in the suburbs. This is not 1950. All these dog whistles and racism don’t work anymore. Suburbs are by and large integrated. There’s many people today driving their kids to soccer practice and/or black and white and Hispanic in the same car as there have been any time in the past, what really is a threat to the suburbs and their safety is his failure to deal with COVID. They’re dying in the suburbs. His failure to deal with the environment, they’re being flooded, they’re being burned out because his refusal to do anything. That’s why the suburbs are in trouble."
Wallace ,3636,3667,"I do want to talk about this issue of law and order though. And in the joint recommendation that came from the Biden-Bernie Sanders task force, you talked about quote re-imagining policing. First of all, what does re-imagining policing mean and do you support? If I might finish the question, what does re-imagining policing mean and do you support the Black Lives Matter call for community control of policing?"
Biden,3667,3708,"Look, what I support are the police having the opportunity to deal with the problems they face and I’m totally opposed to defunding the police offices. As a matter of fact police, local police, the only one defunding in his budget calls for a $400 million cut in local law enforcement assistance. They need more assistance. They need when they show up for a 9-11 call to have someone with them as a psychologist or psychiatrist to keep them from having to use force and be able to talk people down. We have to have community policing like we had before where the officers get to know the people in the communities. That’s when crime went down, it didn’t go up. It went down. And so we have to be…"
Trump,3708,3712,That’s not what they are talking about this. That’s not what it is about. He’s talking about defunding the police.
Biden,3712,3713,That is not true.
Trump,3713,3718,He doesn’t have any law support. He has no law enforcement.
Biden,3718,3718,That’s not true.
